2025-04-15 11:30:18,361 - DEBUG - pymongo.topology  - {"message": "Starting topology monitoring", "topologyId": {"$oid": "67fe434a9994c0b5bbcfd8df"}}
2025-04-15 11:30:18,362 - DEBUG - pymongo.topology  - {"message": "Topology description changed", "topologyId": {"$oid": "67fe434a9994c0b5bbcfd8df"}, "previousDescription": "<TopologyDescription id: 67fe434a9994c0b5bbcfd8df, topology_type: Unknown, servers: []>", "newDescription": "<TopologyDescription id: 67fe434a9994c0b5bbcfd8df, topology_type: Unknown, servers: [<ServerDescription ('mongo', 27017) server_type: Unknown, rtt: None>]>"}
2025-04-15 11:30:18,363 - DEBUG - pymongo.topology  - {"message": "Starting server monitoring", "topologyId": {"$oid": "67fe434a9994c0b5bbcfd8df"}, "serverHost": "mongo", "serverPort": 27017}
2025-04-15 11:30:18,365 - DEBUG - pymongo.connection  - {"message": "Connection pool created", "clientId": {"$oid": "67fe434a9994c0b5bbcfd8df"}, "serverHost": "mongo", "serverPort": 27017}
2025-04-15 11:30:18,389 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe434a9994c0b5bbcfd8df"}, "driverConnectionId": 1, "serverHost": "mongo", "serverPort": 27017, "awaited": false}
2025-04-15 11:30:18,392 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe434a9994c0b5bbcfd8df"}, "driverConnectionId": 1, "serverConnectionId": 5, "serverHost": "mongo", "serverPort": 27017, "awaited": false, "durationMS": 2.341025999953672, "reply": "{\"helloOk\": true, \"ismaster\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:30:18.391Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 5, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:30:18,394 - DEBUG - pymongo.connection  - {"message": "Connection pool ready", "clientId": {"$oid": "67fe434a9994c0b5bbcfd8df"}, "serverHost": "mongo", "serverPort": 27017}
2025-04-15 11:30:18,395 - DEBUG - pymongo.topology  - {"message": "Topology description changed", "topologyId": {"$oid": "67fe434a9994c0b5bbcfd8df"}, "previousDescription": "<TopologyDescription id: 67fe434a9994c0b5bbcfd8df, topology_type: Unknown, servers: [<ServerDescription ('mongo', 27017) server_type: Unknown, rtt: None>]>", "newDescription": "<TopologyDescription id: 67fe434a9994c0b5bbcfd8df, topology_type: Single, servers: [<ServerDescription ('mongo', 27017) server_type: Standalone, rtt: 0.002341025999953672>]>"}
2025-04-15 11:30:18,397 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe434a9994c0b5bbcfd8df"}, "driverConnectionId": 1, "serverConnectionId": 5, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:30:18,899 - DEBUG - pymongo.topology  - {"message": "Server heartbeat failed", "topologyId": {"$oid": "67fe434a9994c0b5bbcfd8df"}, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 502.0357570000442, "failure": "\"_OperationCancelled('operation cancelled')\"", "driverConnectionId": 1}
2025-04-15 11:37:23,468 - DEBUG - pymongo.topology  - {"message": "Starting topology monitoring", "topologyId": {"$oid": "67fe44f3ec050d29212afa60"}}
2025-04-15 11:37:23,470 - DEBUG - pymongo.topology  - {"message": "Topology description changed", "topologyId": {"$oid": "67fe44f3ec050d29212afa60"}, "previousDescription": "<TopologyDescription id: 67fe44f3ec050d29212afa60, topology_type: Unknown, servers: []>", "newDescription": "<TopologyDescription id: 67fe44f3ec050d29212afa60, topology_type: Unknown, servers: [<ServerDescription ('mongo', 27017) server_type: Unknown, rtt: None>]>"}
2025-04-15 11:37:23,470 - DEBUG - pymongo.topology  - {"message": "Starting server monitoring", "topologyId": {"$oid": "67fe44f3ec050d29212afa60"}, "serverHost": "mongo", "serverPort": 27017}
2025-04-15 11:37:23,472 - DEBUG - pymongo.connection  - {"message": "Connection pool created", "clientId": {"$oid": "67fe44f3ec050d29212afa60"}, "serverHost": "mongo", "serverPort": 27017}
2025-04-15 11:37:23,479 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe44f3ec050d29212afa60"}, "driverConnectionId": 1, "serverHost": "mongo", "serverPort": 27017, "awaited": false}
2025-04-15 11:37:23,486 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe44f3ec050d29212afa60"}, "driverConnectionId": 1, "serverConnectionId": 7, "serverHost": "mongo", "serverPort": 27017, "awaited": false, "durationMS": 6.1884499999678155, "reply": "{\"helloOk\": true, \"ismaster\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:37:23.485Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 7, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:37:23,488 - DEBUG - pymongo.connection  - {"message": "Connection pool ready", "clientId": {"$oid": "67fe44f3ec050d29212afa60"}, "serverHost": "mongo", "serverPort": 27017}
2025-04-15 11:37:23,488 - DEBUG - pymongo.topology  - {"message": "Topology description changed", "topologyId": {"$oid": "67fe44f3ec050d29212afa60"}, "previousDescription": "<TopologyDescription id: 67fe44f3ec050d29212afa60, topology_type: Unknown, servers: [<ServerDescription ('mongo', 27017) server_type: Unknown, rtt: None>]>", "newDescription": "<TopologyDescription id: 67fe44f3ec050d29212afa60, topology_type: Single, servers: [<ServerDescription ('mongo', 27017) server_type: Standalone, rtt: 0.0061884499999678155>]>"}
2025-04-15 11:37:23,490 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe44f3ec050d29212afa60"}, "driverConnectionId": 1, "serverConnectionId": 7, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:37:33,500 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe44f3ec050d29212afa60"}, "driverConnectionId": 1, "serverConnectionId": 7, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10011.475063000034, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:37:33.499Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 7, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:37:33,502 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe44f3ec050d29212afa60"}, "driverConnectionId": 1, "serverConnectionId": 7, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:37:43,505 - DEBUG - pymongo.topology  - {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "67fe44f3ec050d29212afa60"}, "driverConnectionId": 1, "serverConnectionId": 7, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 10002.56909399991, "reply": "{\"isWritablePrimary\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"67fe418708888e8f691a6822\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\": {\"$date\": \"2025-04-15T11:37:43.505Z\"}, \"logicalSessionTimeoutMinutes\": 30, \"connectionId\": 7, \"maxWireVersion\": 17, \"ok\": 1.0}"}
2025-04-15 11:37:43,507 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe44f3ec050d29212afa60"}, "driverConnectionId": 1, "serverConnectionId": 7, "serverHost": "mongo", "serverPort": 27017, "awaited": true}
2025-04-15 11:37:49,215 - DEBUG - openai.agents  - Shutting down trace provider
2025-04-15 11:37:49,216 - DEBUG - openai.agents  - Shutting down trace processor <agents.tracing.processors.BatchTraceProcessor object at 0x7fe9e3f73690>
2025-04-15 11:37:49,520 - DEBUG - pymongo.topology  - {"message": "Server heartbeat failed", "topologyId": {"$oid": "67fe44f3ec050d29212afa60"}, "serverHost": "mongo", "serverPort": 27017, "awaited": true, "durationMS": 6013.120954999977, "failure": "\"_OperationCancelled('operation cancelled')\"", "driverConnectionId": 1}
2025-04-15 11:40:41,533 - DEBUG - pymongo.topology  - {"message": "Starting topology monitoring", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}}
2025-04-15 11:40:41,535 - DEBUG - pymongo.topology  - {"message": "Topology description changed", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "previousDescription": "<TopologyDescription id: 67fe45b913fef0e1d85517e5, topology_type: Unknown, servers: []>", "newDescription": "<TopologyDescription id: 67fe45b913fef0e1d85517e5, topology_type: Unknown, servers: [<ServerDescription ('mongo', 27017) server_type: Unknown, rtt: None>]>"}
2025-04-15 11:40:41,535 - DEBUG - pymongo.topology  - {"message": "Starting server monitoring", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "serverHost": "mongo", "serverPort": 27017}
2025-04-15 11:40:41,537 - DEBUG - pymongo.connection  - {"message": "Connection pool created", "clientId": {"$oid": "67fe45b913fef0e1d85517e5"}, "serverHost": "mongo", "serverPort": 27017}
2025-04-15 11:40:41,544 - DEBUG - pymongo.topology  - {"message": "Server heartbeat started", "topologyId": {"$oid": "67fe45b913fef0e1d85517e5"}, "driverConnectionId": 1, "serverHost": "mongo", "serverPort": 27017, "awaited": false}
